Decade,State,Enc_Solved,Enc_NoSolved,Population Density,Resident Population,Casos Totales,Porcentaje Resueltos,Porcentaje No Resueltos
1980,Alabama,3421,370,76.9,3893888,3791,90.24004220522289,9.759957794777103
1980,Alaska,369,87,0.7,401851,456,80.92105263157895,19.078947368421055
1980,Arizona,1688,684,23.9,2718215,2372,71.16357504215851,28.836424957841484
1980,Arkansas,1487,164,43.9,2286435,1651,90.06662628709873,9.933373712901272
1980,California,15453,7325,151.9,23667902,22778,67.84177715339362,32.15822284660638
1980,Colorado,1513,440,27.9,2889964,1953,77.4705581157194,22.529441884280594
1980,Connecticut,995,366,641.7,3107576,1361,73.10800881704628,26.89199118295371
1980,Delaware,202,47,305.0,594338,249,81.12449799196787,18.87550200803213
1980,District of Columbia,657,1269,10456.2,638333,1926,34.112149532710276,65.88785046728972
1980,Florida,6838,2985,181.8,9746324,9823,69.61213478570701,30.387865214292987
1980,Georgia,4260,1169,95.0,5463105,5429,78.4674894087309,21.532510591269112
1980,Hawaii,326,146,150.2,964691,472,69.0677966101695,30.93220338983051
1980,Idaho,259,52,11.4,943935,311,83.27974276527331,16.720257234726688
1980,Illinois,4270,1432,205.8,11426518,5702,74.8860049105577,25.113995089442305
1980,Indiana,1939,712,153.2,5490224,2651,73.14221048660883,26.85778951339117
1980,Iowa,434,82,52.2,2913808,516,84.10852713178295,15.891472868217054
1980,Kansas,866,196,28.9,2363679,1062,81.54425612052731,18.455743879472696
1980,Kentucky,1674,376,92.7,3660777,2050,81.65853658536585,18.341463414634145
1980,Louisiana,3448,1356,97.3,4205900,4804,71.77352206494588,28.226477935054124
1980,Maine,263,42,36.5,1124660,305,86.22950819672131,13.77049180327869
1980,Maryland,2644,1251,434.4,4216975,3895,67.8818998716303,32.118100128369704
1980,Massachusetts,1168,551,735.5,5737037,1719,67.94648051192553,32.053519488074464
1980,Michigan,5099,1946,163.8,9262078,7045,72.37757274662881,27.622427253371185
1980,Minnesota,697,154,51.2,4075970,851,81.90364277320799,18.09635722679201
1980,Mississippi,1588,164,53.7,2520638,1752,90.6392694063927,9.360730593607306
1980,Missouri,2241,1581,71.5,4916686,3822,58.63422291993721,41.36577708006279
1980,Montana,144,17,5.4,786690,161,89.44099378881988,10.559006211180124
1980,Nebraska,346,28,20.4,1569825,374,92.51336898395722,7.4866310160427805
1980,Nevada,711,300,7.3,800493,1011,70.32640949554896,29.673590504451035
1980,New Hampshire,170,52,102.8,920610,222,76.57657657657657,23.423423423423422
1980,New Jersey,2505,1257,1001.4,7364823,3762,66.58692185007975,33.41307814992025
1980,New Mexico,639,300,10.7,1302894,939,68.05111821086261,31.948881789137378
1980,New York,10151,7756,372.6,17558072,17907,56.687328977494836,43.312671022505164
1980,North Carolina,4020,523,121.0,5881766,4543,88.48778340303764,11.51221659696236
1980,North Dakota,74,11,9.5,652717,85,87.05882352941177,12.941176470588237
1980,Ohio,4486,1276,264.3,10797630,5762,77.8549114890663,22.145088510933704
1980,Oklahoma,2157,423,44.1,3025290,2580,83.6046511627907,16.395348837209305
1980,Oregon,742,221,27.4,2633105,963,77.0508826583593,22.949117341640708
1980,Pennsylvania,4198,1049,265.2,11863895,5247,80.00762340384982,19.99237659615018
1980,South Carolina,2862,144,103.9,3121820,3006,95.20958083832335,4.790419161676647
1980,South Dakota,89,11,9.1,690768,100,89.0,11.0
1980,Tennessee,3105,529,111.3,4591120,3634,85.44303797468355,14.556962025316455
1980,Texas,16178,4652,54.5,14229191,20830,77.66682669227076,22.333173307729236
1980,Utah,388,94,17.8,1461037,482,80.49792531120332,19.502074688796682
1980,Vermont,85,19,55.5,511456,104,81.73076923076923,18.269230769230766
1980,Virginia,3313,819,135.4,5346818,4132,80.17909002904162,19.820909970958372
1980,Washington,1380,492,62.2,4132156,1872,73.71794871794873,26.282051282051285
1980,West Virginia,848,78,81.1,1949644,926,91.5766738660907,8.423326133909287
1980,Wisconsin,1098,246,86.9,4705767,1344,81.69642857142857,18.303571428571427
1980,Wyoming,188,35,4.8,469557,223,84.30493273542601,15.695067264573993
1990,Alabama,2417,1070,79.8,4040587,3487,69.31459707484944,30.685402925150555
1990,Alaska,316,104,1.0,550043,420,75.23809523809524,24.761904761904763
1990,Arizona,2651,932,32.3,3665228,3583,73.98827797934692,26.01172202065308
1990,Arkansas,1419,272,45.2,2350725,1691,83.91484328799527,16.085156712004732
1990,California,13040,8230,191.0,29760021,21270,61.3070051716032,38.692994828396806
1990,Colorado,1347,340,31.8,3294394,1687,79.84588026081802,20.15411973918198
1990,Connecticut,945,633,678.8,3287116,1578,59.885931558935354,40.11406844106464
1990,Delaware,178,25,341.9,666168,203,87.68472906403942,12.31527093596059
1990,District of Columbia,706,2083,9941.3,606900,2789,25.31373252061671,74.68626747938329
1990,Florida,5765,2410,241.3,12937926,8175,70.51987767584097,29.48012232415902
1990,Georgia,3668,1074,112.6,6478216,4742,77.35132855335301,22.648671446646983
1990,Hawaii,348,71,172.6,1108229,419,83.05489260143199,16.94510739856802
1990,Idaho,320,25,12.2,1006749,345,92.7536231884058,7.246376811594203
1990,Illinois,4306,2568,205.9,11430602,6874,62.64183881291824,37.358161187081755
1990,Indiana,2250,1158,154.8,5544159,3408,66.02112676056338,33.978873239436616
1990,Iowa,345,57,49.7,2776755,402,85.82089552238806,14.17910447761194
1990,Kansas,296,138,30.3,2477574,434,68.20276497695853,31.797235023041477
1990,Kentucky,1004,379,93.3,3685296,1383,72.59580621836587,27.404193781634127
