Decade,State,Enc_Solved,Enc_NoSolved,Population Density,Resident Population
1980,Alabama,3421.0,370.0,76.9,3893888
1980,Alaska,369.0,87.0,0.7,401851
1980,Arizona,1688.0,684.0,23.9,2718215
1980,Arkansas,1487.0,164.0,43.9,2286435
1980,California,15453.0,7325.0,151.9,23667902
1980,Colorado,1513.0,440.0,27.9,2889964
1980,Connecticut,995.0,366.0,641.7,3107576
1980,Delaware,202.0,47.0,305.0,594338
1980,District of Columbia,657.0,1269.0,10456.2,638333
1980,Florida,6838.0,2985.0,181.8,9746324
1980,Georgia,4260.0,1169.0,95.0,5463105
1980,Hawaii,326.0,146.0,150.2,964691
1980,Idaho,259.0,52.0,11.4,943935
1980,Illinois,4270.0,1432.0,205.8,11426518
1980,Indiana,1939.0,712.0,153.2,5490224
1980,Iowa,434.0,82.0,52.2,2913808
1980,Kansas,866.0,196.0,28.9,2363679
1980,Kentucky,1674.0,376.0,92.7,3660777
1980,Louisiana,3448.0,1356.0,97.3,4205900
1980,Maine,263.0,42.0,36.5,1124660
1980,Maryland,2644.0,1251.0,434.4,4216975
1980,Massachusetts,1168.0,551.0,735.5,5737037
1980,Michigan,5099.0,1946.0,163.8,9262078
1980,Minnesota,697.0,154.0,51.2,4075970
1980,Mississippi,1588.0,164.0,53.7,2520638
1980,Missouri,2241.0,1581.0,71.5,4916686
1980,Montana,144.0,17.0,5.4,786690
1980,Nebraska,346.0,28.0,20.4,1569825
1980,Nevada,711.0,300.0,7.3,800493
1980,New Hampshire,170.0,52.0,102.8,920610
1980,New Jersey,2505.0,1257.0,1001.4,7364823
1980,New Mexico,639.0,300.0,10.7,1302894
1980,New York,10151.0,7756.0,372.6,17558072
1980,North Carolina,4020.0,523.0,121.0,5881766
1980,North Dakota,74.0,11.0,9.5,652717
1980,Ohio,4486.0,1276.0,264.3,10797630
1980,Oklahoma,2157.0,423.0,44.1,3025290
1980,Oregon,742.0,221.0,27.4,2633105
1980,Pennsylvania,4198.0,1049.0,265.2,11863895
1980,South Carolina,2862.0,144.0,103.9,3121820
1980,South Dakota,89.0,11.0,9.1,690768
1980,Tennessee,3105.0,529.0,111.3,4591120
1980,Texas,16178.0,4652.0,54.5,14229191
1980,Utah,388.0,94.0,17.8,1461037
1980,Vermont,85.0,19.0,55.5,511456
1980,Virginia,3313.0,819.0,135.4,5346818
1980,Washington,1380.0,492.0,62.2,4132156
1980,West Virginia,848.0,78.0,81.1,1949644
1980,Wisconsin,1098.0,246.0,86.9,4705767
1980,Wyoming,188.0,35.0,4.8,469557
1990,Alabama,2417.0,1070.0,79.8,4040587
1990,Alaska,316.0,104.0,1.0,550043
1990,Arizona,2651.0,932.0,32.3,3665228
1990,Arkansas,1419.0,272.0,45.2,2350725
1990,California,13040.0,8230.0,191.0,29760021
1990,Colorado,1347.0,340.0,31.8,3294394
1990,Connecticut,945.0,633.0,678.8,3287116
1990,Delaware,178.0,25.0,341.9,666168
1990,District of Columbia,706.0,2083.0,9941.3,606900
1990,Florida,5765.0,2410.0,241.3,12937926
1990,Georgia,3668.0,1074.0,112.6,6478216
1990,Hawaii,348.0,71.0,172.6,1108229
1990,Idaho,320.0,25.0,12.2,1006749
1990,Illinois,4306.0,2568.0,205.9,11430602
1990,Indiana,2250.0,1158.0,154.8,5544159
1990,Iowa,345.0,57.0,49.7,2776755
1990,Kansas,296.0,138.0,30.3,2477574
1990,Kentucky,1004.0,379.0,93.3,3685296
1990,Louisiana,4099.0,1878.0,97.7,4219973
1990,Maine,147.0,16.0,39.8,1227928
1990,Maryland,3093.0,2275.0,492.6,4781468
1990,Massachusetts,1007.0,604.0,771.3,6016425
