Decade,State,Enc_Solved,Enc_NoSolved,Population Density,Resident Population
1980,Alabama,3421,370,76.9,3893888
1980,Alaska,369,87,0.7,401851
1980,Arizona,1688,684,23.9,2718215
1980,Arkansas,1487,164,43.9,2286435
1980,California,15453,7325,151.9,23667902
1980,Colorado,1513,440,27.9,2889964
1980,Connecticut,995,366,641.7,3107576
1980,Delaware,202,47,305.0,594338
1980,District of Columbia,657,1269,10456.2,638333
1980,Florida,6838,2985,181.8,9746324
1980,Georgia,4260,1169,95.0,5463105
1980,Hawaii,326,146,150.2,964691
1980,Idaho,259,52,11.4,943935
1980,Illinois,4270,1432,205.8,11426518
1980,Indiana,1939,712,153.2,5490224
1980,Iowa,434,82,52.2,2913808
1980,Kansas,866,196,28.9,2363679
1980,Kentucky,1674,376,92.7,3660777
1980,Louisiana,3448,1356,97.3,4205900
1980,Maine,263,42,36.5,1124660
1980,Maryland,2644,1251,434.4,4216975
1980,Massachusetts,1168,551,735.5,5737037
1980,Michigan,5099,1946,163.8,9262078
1980,Minnesota,697,154,51.2,4075970
1980,Mississippi,1588,164,53.7,2520638
1980,Missouri,2241,1581,71.5,4916686
1980,Montana,144,17,5.4,786690
1980,Nebraska,346,28,20.4,1569825
1980,Nevada,711,300,7.3,800493
1980,New Hampshire,170,52,102.8,920610
1980,New Jersey,2505,1257,1001.4,7364823
1980,New Mexico,639,300,10.7,1302894
1980,New York,10151,7756,372.6,17558072
1980,North Carolina,4020,523,121.0,5881766
1980,North Dakota,74,11,9.5,652717
1980,Ohio,4486,1276,264.3,10797630
1980,Oklahoma,2157,423,44.1,3025290
1980,Oregon,742,221,27.4,2633105
1980,Pennsylvania,4198,1049,265.2,11863895
1980,South Carolina,2862,144,103.9,3121820
1980,South Dakota,89,11,9.1,690768
1980,Tennessee,3105,529,111.3,4591120
1980,Texas,16178,4652,54.5,14229191
1980,Utah,388,94,17.8,1461037
1980,Vermont,85,19,55.5,511456
1980,Virginia,3313,819,135.4,5346818
1980,Washington,1380,492,62.2,4132156
1980,West Virginia,848,78,81.1,1949644
1980,Wisconsin,1098,246,86.9,4705767
1980,Wyoming,188,35,4.8,469557
1990,Alabama,2417,1070,79.8,4040587
1990,Alaska,316,104,1.0,550043
1990,Arizona,2651,932,32.3,3665228
1990,Arkansas,1419,272,45.2,2350725
1990,California,13040,8230,191.0,29760021
1990,Colorado,1347,340,31.8,3294394
1990,Connecticut,945,633,678.8,3287116
1990,Delaware,178,25,341.9,666168
1990,District of Columbia,706,2083,9941.3,606900
1990,Florida,5765,2410,241.3,12937926
1990,Georgia,3668,1074,112.6,6478216
1990,Hawaii,348,71,172.6,1108229
1990,Idaho,320,25,12.2,1006749
1990,Illinois,4306,2568,205.9,11430602
1990,Indiana,2250,1158,154.8,5544159
1990,Iowa,345,57,49.7,2776755
1990,Kansas,296,138,30.3,2477574
1990,Kentucky,1004,379,93.3,3685296
1990,Louisiana,4099,1878,97.7,4219973
1990,Maine,147,16,39.8,1227928
1990,Maryland,3093,2275,492.6,4781468
1990,Massachusetts,1007,604,771.3,6016425
1990,Michigan,5525,2486,164.4,9295297
1990,Minnesota,882,203,54.9,4375099
1990,Mississippi,1572,263,54.8,2573216
1990,Missouri,2767,1497,74.4,5117073
1990,Montana,59,4,5.5,799065
1990,Nebraska,237,25,20.5,1578385
1990,Nevada,1028,516,10.9,1201833
1990,New Hampshire,151,28,123.9,1109252
1990,New Jersey,2246,1157,1051.1,7730188
1990,New Mexico,800,320,12.5,1515069
1990,New York,7496,8300,381.7,17990455
1990,North Carolina,1411,274,136.3,6628637
1990,North Dakota,62,3,9.3,638800
1990,Ohio,3612,1604,265.5,10847115
1990,Oklahoma,2037,404,45.9,3145585
1990,Oregon,685,129,29.6,2842321
1990,Pennsylvania,4400,1362,265.6,11881643
1990,South Carolina,3140,248,116.0,3486703
1990,South Dakota,89,6,9.2,696004
1990,Tennessee,3158,765,118.3,4877185
1990,Texas,13600,4443,65.0,16986510
1990,Utah,490,94,21.0,1722850
1990,Vermont,103,15,61.1,562758
1990,Virginia,3203,1294,156.7,6187358
1990,Washington,1745,532,73.2,4866692
1990,West Virginia,802,95,74.6,1793477
1990,Wisconsin,1211,207,90.3,4891769
1990,Wyoming,154,8,4.7,453588
2000,Alabama,1658,72,87.8,4447100
