;Resident Population 2020 Census;Population Density 2020 Census;Density Rank 2020 Census;Resident Population 2010 Census;Population Density 2010 Census;Density Rank 2010 Census;Resident Population 2000 Census;Population Density 2000 Census;Density Rank 2000 Census;Resident Population 1990 Census;Population Density 1990 Census;Density Rank 1990 Census;Resident Population 1980 Census;Population Density 1980 Census;Density Rank 1980 Census;Resident Population 1970 Census;Population Density 1970 Census;Density Rank 1970 Census
Alabama;5.024.279;99,2;29;4.779.736;94,4;29;4.447.100;87,8;28;4.040.587;79,8;27;3.893.888;76,9;28;3.444.165;68,0;28
Alaska;733.391;1,3;52;710.231;1,2;52;626.932;1,1;52;550.043;1,0;52;401.851;0,7;52;300.382;0,5;52
Arizona;7.151.502;62,9;35;6.392.017;56,3;35;5.130.632;45,2;38;3.665.228;32,3;39;2.718.215;23,9;42;1.770.900;15,6;43
Arkansas;3.011.524;57,9;36;2.915.918;56,0;36;2.673.400;51,4;36;2.350.725;45,2;37;2.286.435;43,9;37;1.923.295;37,0;37
California;39.538.223;253,7;13;37.253.956;239,1;13;33.871.648;217,4;14;29.760.021;191,0;14;23.667.902;151,9;16;19.953.134;128,1;15
Colorado;5.773.714;55,7;39;5.029.196;48,5;39;4.301.261;41,5;39;3.294.394;31,8;40;2.889.964;27,9;40;2.207.259;21,3;41
Connecticut;3.605.944;744,7;6;3.574.097;738,1;6;3.405.565;703,3;6;3.287.116;678,8;6;3.107.576;641,7;6;3.031.709;626,1;6
Delaware;989.948;508,0;8;897.934;460,8;8;783.600;402,1;9;666.168;341,9;9;594.338;305,0;9;548.104;281,3;9
District of Columbia;689.545;11.280,0;1;601.723;9.856,5;1;572.059;9.370,6;1;606.900;9.941,3;1;638.333;10.456,2;1;756.510;12.392,0;1
Florida;21.538.187;401,4;10;18.801.310;350,6;10;15.982.378;298,0;10;12.937.926;241,3;12;9.746.324;181,8;13;6.789.443;126,6;16
Georgia;10.711.908;185,6;19;9.687.653;168,4;20;8.186.453;142,3;20;6.478.216;112,6;23;5.463.105;95,0;24;4.589.575;79,8;26
Hawaii;1.455.271;226,6;15;1.360.301;211,8;15;1.211.537;188,6;15;1.108.229;172,6;15;964.691;150,2;17;768.561;119,7;17
Idaho;1.839.106;22,3;46;1.567.582;19,0;46;1.293.953;15,7;46;1.006.749;12,2;46;943.935;11,4;45;712.567;8,6;47
Illinois;12.812.508;230,8;14;12.830.632;231,1;14;12.419.293;223,7;13;11.430.602;205,9;13;11.426.518;205,8;12;11.113.976;200,2;12
Indiana;6.785.528;189,4;18;6.483.802;181,0;18;6.080.485;169,7;18;5.544.159;154,8;18;5.490.224;153,2;15;5.193.669;145,0;14
Iowa;3.190.369;57,1;38;3.046.355;54,5;38;2.926.324;52,4;35;2.776.755;49,7;35;2.913.808;52,2;34;2.824.376;50,6;31
Kansas;2.937.880;35,9;43;2.853.118;34,9;42;2.688.418;32,9;42;2.477.574;30,3;41;2.363.679;28,9;39;2.246.578;27,5;39
Kentucky;4.505.836;114,1;25;4.339.367;109,9;24;4.041.769;102,4;25;3.685.296;93,3;25;3.660.777;92,7;25;3.218.706;81,5;25
Louisiana;4.657.757;107,8;28;4.533.372;104,9;26;4.468.976;103,4;24;4.219.973;97,7;24;4.205.900;97,3;23;3.641.306;84,3;22
Maine;1.362.359;44,2;40;1.328.361;43,1;40;1.274.923;41,3;40;1.227.928;39,8;38;1.124.660;36,5;38;992.048;32,2;38
Maryland;6.177.224;636,1;7;5.773.552;594,8;7;5.296.486;545,6;7;4.781.468;492,6;7;4.216.975;434,4;7;3.922.399;404,1;7
Massachusetts;7.029.917;901,2;5;6.547.629;839,4;5;6.349.097;814,0;5;6.016.425;771,3;5;5.737.037;735,5;5;5.689.170;729,4;5
Michigan;10.077.331;178,0;20;9.883.640;174,8;19;9.938.444;175,8;17;9.295.297;164,4;16;9.262.078;163,8;14;8.875.083;157,0;13
Minnesota;5.706.494;71,7;32;5.303.925;66,6;33;4.919.479;61,8;33;4.375.099;54,9;33;4.075.970;51,2;35;3.804.971;47,8;33
Mississippi;2.961.279;63,1;34;2.967.297;63,2;34;2.844.658;60,6;34;2.573.216;54,8;34;2.520.638;53,7;33;2.216.912;47,2;34
Missouri;6.154.913;89,5;30;5.988.927;87,1;30;5.595.211;81,4;29;5.117.073;74,4;29;4.916.686;71,5;29;4.676.501;68,0;28
Montana;1.084.225;7,4;50;989.415;6,8;50;902.195;6,2;50;799.065;5,5;50;786.690;5,4;50;694.409;4,8;49
Nebraska;1.961.504;25,5;45;1.826.341;23,8;45;1.711.263;22,3;44;1.578.385;20,5;44;1.569.825;20,4;43;1.483.493;19,3;42
Nevada;3.104.614;28,3;44;2.700.551;24,6;44;1.998.257;18,2;45;1.201.833;10,9;47;800.493;7,3;49;488.738;4,5;50
